System,River,ReturnYear,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_1.1,AgeClass_0.3,AgeClass_1.2,AgeClass_2.1,AgeClass_0.4,AgeClass_1.3,AgeClass_2.2,AgeClass_1.4,AgeClass_2.3,AgeClass_3.2,AgeClass_1.5
Fraser River,Late Stuart,1950,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Fraser River,Late Stuart,1951,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Fraser River,Late Stuart,1952,NA,0,0,3433,0,327,0,NA,NA,0,NA,NA,NA,NA
Fraser River,Late Stuart,1953,1527145,0,0,591,0,1526554,0,0,0,0,NA,NA,NA,NA
Fraser River,Late Stuart,1954,36886,0,0,0,0,36671,0,0,0,215,0,0,0,NA
Fraser River,Late Stuart,1955,58590,0,0,86,0,56085,0,0,2419,0,0,0,0,0
Fraser River,Late Stuart,1956,12413,0,0,830,0,3858,0,0,7559,166,0,0,0,0
Fraser River,Late Stuart,1957,1548251,0,0,150,0,1548072,0,0,29,0,0,0,0,0
Fraser River,Late Stuart,1958,138477,0,0,29,0,135111,0,0,1470,1867,0,0,0,0
Fraser River,Late Stuart,1959,52900,0,0,0,0,50196,0,0,2704,0,0,0,0,0
Fraser River,Late Stuart,1960,15466,0,0,874,0,13472,0,0,1120,0,0,0,0,0
Fraser River,Late Stuart,1961,1360396,0,0,672,0,1327094,0,0,32630,0,0,0,0,0
Fraser River,Late Stuart,1962,55027,0,0,67,0,53044,0,0,1916,0,0,0,0,0
Fraser River,Late Stuart,1963,7080,0,0,27,0,6092,0,0,961,0,0,0,0,0
Fraser River,Late Stuart,1964,8034,0,0,143,0,6658,0,0,1233,0,0,0,0,0
Fraser River,Late Stuart,1965,773362,0,0,45,0,770385,0,0,2932,0,0,0,0,0
Fraser River,Late Stuart,1966,51082,0,0,25,0,43107,0,0,7535,415,0,0,0,0
Fraser River,Late Stuart,1967,13888,0,0,60,0,11911,0,0,1917,0,0,0,0,0
Fraser River,Late Stuart,1968,2147,0,0,228,0,1806,0,0,113,0,0,0,0,0
Fraser River,Late Stuart,1969,1103957,0,0,274,0,1102448,0,0,1235,0,0,0,0,0
Fraser River,Late Stuart,1970,94021,0,0,224,0,71954,0,0,21752,91,0,0,0,0
Fraser River,Late Stuart,1971,8145,0,0,0,0,6294,0,0,1851,0,0,0,0,0
Fraser River,Late Stuart,1972,40187,0,0,2756,0,27393,0,0,10038,0,0,0,0,0
Fraser River,Late Stuart,1973,1607116,0,0,318,0,1602892,54,0,3906,0,0,0,0,0
Fraser River,Late Stuart,1974,91651,0,0,1243,0,70520,0,0,19888,0,0,0,0,0
Fraser River,Late Stuart,1975,65527,0,0,0,0,65527,0,0,0,0,0,0,0,0
Fraser River,Late Stuart,1976,16470,0,0,290,0,16180,0,0,0,0,0,0,0,0
Fraser River,Late Stuart,1977,661599,0,0,855,0,658158,0,0,2586,0,0,0,0,0
Fraser River,Late Stuart,1978,56784,0,0,541,0,48593,0,0,5807,1843,0,0,0,0
Fraser River,Late Stuart,1979,215365,0,0,0,0,214097,0,0,1268,0,0,0,0,0
Fraser River,Late Stuart,1980,3921,0,0,104,0,3339,0,0,478,0,0,0,0,0
Fraser River,Late Stuart,1981,1314560,0,0,699,0,1313861,0,0,0,0,0,0,0,0
Fraser River,Late Stuart,1982,113596,0,0,0,0,69820,0,0,43776,0,0,0,0,0
Fraser River,Late Stuart,1983,15782,0,0,0,0,6854,0,0,8928,0,0,0,0,0
Fraser River,Late Stuart,1984,21440,0,0,0,0,21440,0,0,0,0,0,0,0,0
Fraser River,Late Stuart,1985,1978203,0,0,193,0,1978010,0,0,0,0,0,0,0,0
Fraser River,Late Stuart,1986,107988,0,0,0,0,52097,0,0,55891,0,0,0,0,0
Fraser River,Late Stuart,1987,23116,0,0,222,0,14195,0,0,8699,0,0,0,0,0
Fraser River,Late Stuart,1988,26026,0,0,7755,0,14522,0,0,3717,32,0,0,0,0
Fraser River,Late Stuart,1989,3367350,0,0,264,0,3367086,0,0,0,0,0,0,0,0
Fraser River,Late Stuart,1990,858898,0,0,984,0,725126,0,0,132788,0,0,0,0,0
Fraser River,Late Stuart,1991,376655,0,0,1552,0,283932,0,0,91171,0,0,0,0,0
Fraser River,Late Stuart,1992,322645,0,0,20256,0,207234,0,0,95155,0,0,0,0,0
Fraser River,Late Stuart,1993,5163174,0,0,440,0,5162734,0,0,0,0,0,0,0,0
Fraser River,Late Stuart,1994,517173,0,0,354,0,372685,44,0,144134,0,0,0,0,0
Fraser River,Late Stuart,1995,108095,0,0,0,0,91441,0,0,16654,0,0,0,0,0
Fraser River,Late Stuart,1996,150838,0,0,4082,0,128970,0,0,17786,0,0,0,0,0
Fraser River,Late Stuart,1997,3255574,0,0,0,0,3249145,0,0,6429,0,0,0,0,0
Fraser River,Late Stuart,1998,620406,0,0,1366,0,108011,0,0,511029,0,0,0,0,0
Fraser River,Late Stuart,1999,100749,0,0,607,0,92713,0,0,7429,0,0,0,0,0
Fraser River,Late Stuart,2000,849458,0,0,81,0,810002,0,0,39375,0,0,0,0,0
Fraser River,Late Stuart,2001,564418,0,0,312,0,351715,0,0,212391,0,0,0,0,0
Fraser River,Late Stuart,2002,343512,0,0,23,0,264390,0,0,79099,0,0,0,0,0
Fraser River,Late Stuart,2003,131907,0,0,1827,0,117520,0,0,12560,0,0,0,0,0
Fraser River,Late Stuart,2004,884765,0,0,29,0,868657,0,0,16079,0,0,0,0,0
Fraser River,Late Stuart,2005,458862,0,0,20,0,415504,0,0,42459,879,0,0,0,0
Fraser River,Late Stuart,2006,211304,0,0,11,0,121483,0,0,89810,0,0,0,0,0
Fraser River,Late Stuart,2007,20631,0,0,220,0,15962,0,0,4449,0,0,0,0,0
Fraser River,Late Stuart,2008,269580,0,0,89,0,263681,0,0,5810,0,0,0,0,0
Fraser River,Late Stuart,2009,124109,0,0,46,0,105786,0,0,18277,0,0,0,0,0
Fraser River,Late Stuart,2010,179647,0,0,68,0,156804,0,0,22775,0,0,0,0,0
Fraser River,Late Stuart,2011,12255,0,0,362,0,5832,0,0,6061,0,0,0,0,0
Fraser River,Late Stuart,2012,193189,0,0,47,0,186684,0,0,6458,0,0,0,0,0
Fraser River,Late Stuart,2013,227473,0,0,1119,0,218217,0,0,8137,0,0,0,0,0
Fraser River,Late Stuart,2014,311561,0,0,0,0,276384,0,0,35177,0,0,0,0,0
Fraser River,Late Stuart,2015,38959,0,0,0,0,4528,0,0,34431,0,0,0,0,0
Fraser River,Late Stuart,2016,33680,0,0,1625,0,31733,0,0,322,0,0,0,0,0
Fraser River,Late Stuart,2017,219720,0,0,609,0,214773,0,0,4338,0,0,0,0,0
Fraser River,Late Stuart,2018,328946,0,0,0,0,310878,0,0,18068,0,0,0,0,0
Fraser River,Late Stuart,2019,14154,0,0,130,0,4946,0,0,9078,0,0,0,0,0
Fraser River,Late Stuart,2020,12387,0,0,49,0,11443,0,0,895,0,0,0,0,0
Fraser River,Late Stuart,2021,468135,0,0,213,0,467922,0,0,0,0,0,0,0,0
Fraser River,Late Stuart,2022,215279,0,0,0,0,192497,0,0,22782,0,0,0,0,0
Fraser River,Late Stuart,2023,43576,0,0,26,0,12640,0,0,30910,0,0,0,0,0
Fraser River,Late Stuart,2024,101089,0,0,595,0,96339,0,0,4155,0,0,0,0,0
Fraser River,Late Stuart,2025,1861091,NA,NA,0,NA,1847119,NA,NA,13972,0,NA,NA,NA,NA
Fraser River,Stellako,1950,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Fraser River,Stellako,1951,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Fraser River,Stellako,1952,NA,0,0,133,0,185175,0,NA,NA,0,NA,NA,NA,NA
Fraser River,Stellako,1953,200034,0,0,4630,0,173402,0,0,22002,0,NA,NA,NA,NA
Fraser River,Stellako,1954,910135,0,0,26,0,903768,0,0,6341,0,0,0,0,NA
Fraser River,Stellako,1955,384791,0,0,23,0,354049,0,0,30719,0,0,0,0,0
Fraser River,Stellako,1956,195306,0,0,30,0,93984,0,0,101292,0,0,0,0,0
Fraser River,Stellako,1957,176197,0,0,3311,0,156192,0,0,16694,0,0,0,0,0
Fraser River,Stellako,1958,1158256,0,0,28,0,1140205,0,0,18023,0,0,0,0,0
Fraser River,Stellako,1959,670552,0,0,92,0,602677,0,0,67783,0,0,0,0,0
Fraser River,Stellako,1960,247499,0,0,8,0,220400,0,0,27091,0,0,0,0,0
Fraser River,Stellako,1961,171234,0,0,1156,0,143835,0,0,26243,0,0,0,0,0
Fraser River,Stellako,1962,331106,0,0,17,0,323089,0,0,8000,0,0,0,0,0
Fraser River,Stellako,1963,531152,0,0,19,0,514918,0,0,16215,0,0,0,0,0
Fraser River,Stellako,1964,170113,0,0,288,0,143340,0,0,26485,0,0,0,0,0
Fraser River,Stellako,1965,158301,0,0,100,0,137046,0,0,21155,0,0,0,0,0
Fraser River,Stellako,1966,583074,0,0,977,0,572029,0,0,10068,0,0,0,0,0
Fraser River,Stellako,1967,731057,0,0,194,0,713487,0,0,17376,0,0,0,0,0
Fraser River,Stellako,1968,184315,0,0,179,0,170674,0,0,13462,0,0,0,0,0
Fraser River,Stellako,1969,238902,0,0,833,0,231100,0,0,6969,0,0,0,0,0
Fraser River,Stellako,1970,348976,0,0,288,0,336316,0,0,12372,0,0,0,0,0
Fraser River,Stellako,1971,554728,0,0,85,0,531886,0,0,22757,0,0,0,0,0
Fraser River,Stellako,1972,144381,0,0,131,0,125900,0,0,18350,0,0,0,0,0
Fraser River,Stellako,1973,240736,0,0,1170,0,235729,0,0,3837,0,0,0,0,0
Fraser River,Stellako,1974,246689,0,0,496,0,228808,0,0,17385,0,0,0,0,0
Fraser River,Stellako,1975,513093,0,0,204,0,508759,12,0,4130,0,0,0,0,0
Fraser River,Stellako,1976,711237,0,0,11,0,711226,0,0,0,0,0,0,0,0
Fraser River,Stellako,1977,122420,0,0,1823,0,75813,0,0,44784,0,0,0,0,0
Fraser River,Stellako,1978,295681,0,0,3852,0,281752,13,0,10077,0,0,0,0,0
Fraser River,Stellako,1979,1852392,0,0,150,0,1832708,0,0,19534,0,0,0,0,0
Fraser River,Stellako,1980,284339,0,0,74,0,216701,0,0,64645,2919,0,0,0,0
Fraser River,Stellako,1981,237504,0,0,860,0,209138,0,0,27506,0,0,0,0,0
Fraser River,Stellako,1982,445024,0,0,31,0,388505,0,0,56488,0,0,0,0,0
Fraser River,Stellako,1983,526984,0,0,207,0,478737,0,0,48040,0,0,0,0,0
Fraser River,Stellako,1984,681128,0,0,28,0,535944,0,0,145156,0,0,0,0,0
Fraser River,Stellako,1985,455291,0,0,1900,0,234136,0,0,219255,0,0,0,0,0
Fraser River,Stellako,1986,362232,0,0,1129,0,309369,0,0,51734,0,0,0,0,0
Fraser River,Stellako,1987,1144418,0,0,170,0,1097744,0,0,46504,0,0,0,0,0
Fraser River,Stellako,1988,903283,0,0,87,0,744589,0,0,158607,0,0,0,0,0
Fraser River,Stellako,1989,364112,0,0,23,0,97659,0,0,266430,0,0,0,0,0
Fraser River,Stellako,1990,476408,0,0,14,0,445398,0,0,30996,0,0,0,0,0
Fraser River,Stellako,1991,470053,0,0,158,0,353471,0,0,116424,0,0,0,0,0
Fraser River,Stellako,1992,648446,0,0,28,0,566227,0,0,82191,0,0,0,0,0
Fraser River,Stellako,1993,553471,0,0,1145,0,127212,0,0,425114,0,0,0,0,0
Fraser River,Stellako,1994,956333,0,0,259,0,861027,0,0,95047,0,0,0,0,0
Fraser River,Stellako,1995,388978,0,0,275,0,299039,0,0,89664,0,0,0,0,0
Fraser River,Stellako,1996,771677,0,0,13,0,734393,0,0,37271,0,0,0,0,0
Fraser River,Stellako,1997,202078,0,0,127,0,68158,0,0,133793,0,0,0,0,0
Fraser River,Stellako,1998,835157,0,0,75,0,593409,0,0,241673,0,0,0,0,0
Fraser River,Stellako,1999,216713,0,0,16,0,127344,0,0,88649,704,0,0,0,0
Fraser River,Stellako,2000,692039,0,0,0,0,635499,0,0,56540,0,0,0,0,0
Fraser River,Stellako,2001,245067,0,0,73,0,68515,0,0,176479,0,0,0,0,0
Fraser River,Stellako,2002,561079,0,0,0,0,504421,0,0,56658,0,0,0,0,0
Fraser River,Stellako,2003,277491,0,0,0,0,143988,0,0,133503,0,0,0,0,0
Fraser River,Stellako,2004,678056,0,0,0,0,647582,0,0,30474,0,0,0,0,0
Fraser River,Stellako,2005,273546,0,0,47,0,203410,0,0,70089,0,0,0,0,0
Fraser River,Stellako,2006,307985,0,0,5,0,224262,0,0,83718,0,0,0,0,0
Fraser River,Stellako,2007,58741,0,332,153,0,34522,0,0,24066,0,0,0,0,0
Fraser River,Stellako,2008,227720,0,0,12,664,213103,0,0,14605,0,0,0,0,0
Fraser River,Stellako,2009,40627,0,97,109,0,6840,0,0,33547,131,0,0,0,0
Fraser River,Stellako,2010,406363,0,0,22,0,401587,0,0,4754,0,0,0,0,0
Fraser River,Stellako,2011,196347,0,0,504,0,108541,0,0,87302,0,0,0,0,0
Fraser River,Stellako,2012,285869,0,0,0,0,265967,0,0,19902,0,0,0,0,0
Fraser River,Stellako,2013,181922,0,0,16411,0,151762,0,0,13749,0,0,0,0,0
Fraser River,Stellako,2014,1551968,0,0,0,0,1501102,0,0,50866,0,0,0,0,0
Fraser River,Stellako,2015,171415,0,0,67,0,41761,0,0,129587,0,488,0,0,0
Fraser River,Stellako,2016,54728,0,0,235,0,42553,0,0,11940,0,0,0,0,0
Fraser River,Stellako,2017,115634,0,0,462,0,108178,0,0,6994,0,0,0,0,0
Fraser River,Stellako,2018,398699,0,0,66,0,360541,0,0,38092,0,0,0,0,0
Fraser River,Stellako,2019,85802,0,0,63,0,53844,0,0,31895,0,0,0,0,0
Fraser River,Stellako,2020,57784,0,0,47,0,37097,0,0,20640,0,0,0,0,0
Fraser River,Stellako,2021,137357,0,0,9,0,132511,0,0,4837,0,0,0,0,0
Fraser River,Stellako,2022,227923,0,0,0,0,200345,0,0,27578,0,0,0,0,0
Fraser River,Stellako,2023,158420,0,0,214,0,115750,0,0,42456,0,0,0,0,0
Fraser River,Stellako,2024,104237,0,0,8,0,93019,0,0,11210,0,0,0,0,0
Fraser River,Stellako,2025,156392,NA,NA,0,NA,154205,NA,NA,2187,0,NA,NA,NA,NA
Fraser River,Raft,1950,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Fraser River,Raft,1951,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Fraser River,Raft,1952,NA,0,0,0,0,62653,0,NA,NA,0,NA,NA,NA,NA
Fraser River,Raft,1953,37449,0,0,17,0,36748,0,0,684,0,NA,NA,NA,NA
Fraser River,Raft,1954,42435,0,0,8,0,39549,0,0,2878,0,0,0,0,NA
Fraser River,Raft,1955,40631,0,0,5,0,34636,0,0,5990,0,0,0,0,0
Fraser River,Raft,1956,59176,0,0,0,0,46167,0,0,13009,0,0,0,0,0
Fraser River,Raft,1957,35526,0,0,231,0,30285,0,0,5010,0,0,0,0,0
Fraser River,Raft,1958,40810,0,0,7,0,38964,0,0,1839,0,0,0,0,0
Fraser River,Raft,1959,63790,0,0,0,0,52497,0,0,11293,0,0,0,0,0
Fraser River,Raft,1960,25425,0,0,72,0,17335,0,0,7860,158,0,0,0,0
Fraser River,Raft,1961,28760,0,0,23,0,18932,0,0,8029,1776,0,0,0,0
Fraser River,Raft,1962,24602,0,0,0,0,22591,0,0,2011,0,0,0,0,0
Fraser River,Raft,1963,21010,0,0,64,0,20417,0,0,512,17,0,0,0,0
Fraser River,Raft,1964,17944,0,0,32,0,14715,0,0,3167,30,0,0,0,0
Fraser River,Raft,1965,24308,0,0,0,0,22139,0,0,2049,120,0,0,0,0
Fraser River,Raft,1966,39740,0,0,18,0,37568,0,0,2154,0,0,0,0,0
Fraser River,Raft,1967,12152,0,0,81,0,9090,0,0,2981,0,0,0,0,0
Fraser River,Raft,1968,41065,0,0,73,0,40283,0,0,265,444,0,0,0,0
Fraser River,Raft,1969,27547,0,0,320,0,18867,0,0,8228,132,0,0,0,0
Fraser River,Raft,1970,22206,0,0,37,0,20483,0,0,1686,0,0,0,0,0
Fraser River,Raft,1971,11060,0,0,98,0,8226,0,0,2736,0,0,0,0,0
Fraser River,Raft,1972,102664,0,0,381,0,100888,0,0,1395,0,0,0,0,0
Fraser River,Raft,1973,15727,0,0,37,0,10279,0,0,5411,0,0,0,0,0
Fraser River,Raft,1974,12043,0,0,33,0,8300,0,0,3710,0,0,0,0,0
Fraser River,Raft,1975,10180,0,0,87,0,9570,0,0,523,0,0,0,0,0
Fraser River,Raft,1976,59753,0,0,22,0,56973,0,0,2116,642,0,0,0,0
Fraser River,Raft,1977,2583,0,0,206,0,1616,0,0,761,0,0,0,0,0
Fraser River,Raft,1978,19271,0,0,7,0,11541,0,0,7723,0,0,0,0,0
Fraser River,Raft,1979,6164,0,0,56,0,5632,0,0,476,0,0,0,0,0
Fraser River,Raft,1980,19616,0,0,0,0,18539,0,0,797,280,0,0,0,0
Fraser River,Raft,1981,4312,0,0,253,0,2728,0,0,1331,0,0,0,0,0
Fraser River,Raft,1982,15077,0,0,0,0,11888,0,0,3189,0,0,0,0,0
Fraser River,Raft,1983,7902,0,0,112,0,1183,0,0,6562,45,0,1023,0,0
Fraser River,Raft,1984,49712,0,0,29,0,47827,0,0,1856,0,0,0,0,0
Fraser River,Raft,1985,11150,0,0,0,0,7366,0,0,3784,0,0,0,0,0
Fraser River,Raft,1986,3791,0,0,38,0,2509,0,0,1244,0,0,0,0,0
